title,sentence_five,sentence_four,sentence_three,sentence_two,sentence_one,word_five,word_four,word_three,word_two,word_one
=嘉義市市中心=10家嘉義必吃美食 在地人激推名單,28,30,6,0,1,17,17,16,9,1
台南-美食早午餐 裏葉 x 森林中的療癒美味,7,9,1,0,0,4,1,7,4,0
*宜蘭壯圍美食*海世界複合式碳烤，超澎湃海鮮自助燒烤，牡蠣新鮮又大顆!!,0,3,4,1,0,0,4,2,2,2
瑞穗臭豆腐┃台中小吃美食：原力行路雙十國中對面臭豆腐攤，外酥內軟湯汁四溢，湯品飲料無限供應，不管平日假日生意都很好,4,4,1,0,0,0,2,4,2,0
『美食@高雄』鹽埕50年的老店好滋味【阿忠米粉湯】,4,13,3,0,0,3,10,2,1,0
國父紀念館站 ▉北平都一處。完整菜單。朝聖！一份800元的蔥油餅，一天只賣三份的限量美食,10,8,4,0,0,5,10,7,7,0
﹝食記: 劉山東牛肉麵﹞ 屹立開封街60餘年的人氣牛肉麵名店 l 台北 台北車站,3,2,1,7,3,2,1,4,3,0
[食記] 高雄 - MoM's TOUCH(高雄夢時代店)，韓式炸物快餐~,3,4,3,1,0,3,3,3,3,1
高雄美食｜台南阿伯雞蛋糕-哈根達斯風味的貓掌冰燒雞蛋糕,3,2,1,3,0,1,2,2,3,2
台南東區 承心亭  無低消/無服務費  打卡按讚送造型瓶或薯條 3Y10M6D,0,2,6,2,1,0,1,2,6,4
香香燒肉工坊｜豐原燒烤吃到飽新開幕，近30種肉類海鮮無限量供應，超值海陸新鮮食材隨你點，野菜、沙拉、飲料、甜點通通吃到爽！,8,26,11,6,0,1,14,11,5,1
新竹美食甜點下午茶推薦 紅帽烘焙 藍莓塔超好吃!還有好多種水果塔! 搬家到新竹大遠百附近囉!!,25,15,6,3,0,10,13,4,12,5
台中-韓34韓國料理逢甲店。逢甲限定銅盤烤肉超便宜.還有各種小菜飲料白飯吃到飽.老闆根本是來做善事的阿.東西便宜又好吃。推薦!!,6,18,7,1,0,1,13,11,6,12
[高雄]鼓山區。Bobo Rose Coffee,8,10,2,0,1,7,6,7,11,2
【桃園泰式料理】JC PARK 食尚廣場桃園春日館 蘇珂泰泰式餐廳,0,5,2,0,0,0,3,2,3,1
"La mole,botega兩個義大利帥哥旁的女人~~蕭家小館",1,3,2,0,0,0,2,0,2,2
雲林美食。西螺鎮。西螺祖傳麻糬大王。冰上冰。,3,2,4,0,0,0,1,6,2,0
[台北] 北車捷運~壽司郎~美味平價高CP值排隊人氣美食,5,15,0,0,0,8,9,10,1,0
高雄鹽埕區=<食>阿忠米粉湯~鹽埕區的小吃拼圖重要的一角=,1,5,4,1,1,0,7,4,2,2
【新北|三峽】泰貳泰式料理 平價質感泰好吃,11,9,6,0,0,5,9,8,4,2
台中美食|肉多多火鍋美村店加大肉盤喜歡吃肉的朋友不要錯過(附完整菜單),1,12,5,2,1,0,4,8,0,5
《食記》台中‧Haritts台灣1號店，來自東京的美味甜甜圈★,8,4,4,0,0,6,6,6,2,0
【台南東區】深夜美食麻辣串串香『川囍紅湯串串鍋』三宮格鴛鴦鍋，串/盤類均一價18元，又麻又辣好過癮!,0,0,0,0,0,0,0,0,0,0
中壢｜福叁鍋物．鄰近中壢SOGO超強IG熱門活體海鮮單點鍋物/和牛/Prime牛/帝王蟹/波士頓龍蝦,3,10,9,0,0,1,4,5,4,5
台南排隊美食-台中楊大腸蚵仔蝦仁麵線隱藏版天使紅蝦和干貝大腸麵線,4,9,1,2,0,0,10,2,0,0
台北東區【大師兄銷魂麵舖-忠孝店】一個人也能享用的麻辣銷魂麵,1,6,0,0,0,0,2,5,3,0
台南雞排鹹酥雞／每日限量供應飄香20多年／隱藏版雞排比臉大50元佛心價／價格親民料多實在CP值高／在地人從小吃到大／忠實顧客愛吃到不回家吃晚餐,10,8,2,0,0,5,4,7,0,0
【鳳山五甲-禾雅時尚國際特賣會】萬國、GOBY等行李箱下殺600元起│冰山袋鼠女包通通990元│AIRWALK、HighSierra百貨包款最低$390起│其他還有OutdoorTeam等名牌包款通通1.8折│數量有限要搶要快,7,24,12,4,4,0,8,8,9,17
[中壢火車站美食]集善粽子★令人懷念的南部好滋味★,0,6,2,0,0,1,6,6,2,3
[台北車站] 奧蘿茉咖啡Oromo Cafe：不限時、免費Wifi插座，美好風格咖啡北車找的到！！,9,11,19,1,2,5,9,14,4,2
*寧夏夜市必吃小吃總整理*劉芋仔.豬肝榮仔.圓環邊蚵仔煎米其林推薦、蚵仔煎、豆花推薦小吃精選-持續新增,13,14,6,2,2,6,10,11,3,4
景美夜市牛排推薦｜Injoy X 獨特牛排館，2018豪華雙拼菜單，讓牛排不只是夜市牛排（台北市文山區／景美捷運站）,9,3,1,1,0,3,2,3,5,2
桃園_中壢區【吉野烤肉飯】中原大學正門口 路過都聞的到烤肉香的烤肉飯,5,12,2,1,1,1,5,3,0,0
2018-桃園海寶城複合式碳烤吃到飽-不用跑宜蘭就能吃到現流魚貨燒烤喔!,0,1,0,28,0,0,0,2,24,0
樓梯louti - 仁武旗艦店 仁武早午餐 學生小資族最愛的平價美味,1,5,67,60,15,0,6,31,32,10
[南崁菜鳥覓食記]雅加達早餐店~恰恰的香酥口味蛋餅,1,3,4,0,0,0,2,0,5,0
【台中。親子餐廳】X子(叉子餐廳)--台中輕井澤火鍋新品牌！價格親民、餐點好吃，還有大沙坑！,0,0,1,15,0,0,2,3,17,0
開箱*【酷覓星＊香鬆起士糙米捲】殺手級的台灣版的泰國捲、、、,4,6,29,31,4,2,8,18,6,3
嘉義美食小吃地圖十七連發,7,25,77,58,8,3,17,41,17,3
【高雄/韓式料理】◆娘子居食屋◆韓式烤肉大口吃아내마누라(高雄美術館加盟店),1,5,56,58,14,1,6,30,11,4
台北小巨蛋站-王記府城肉粽(八德路店），我愛吃的南部粽!,0,1,1,2,0,0,4,0,1,0
[台北|中正區。親子餐廳農人餐桌],2,4,30,12,0,0,2,11,9,3
美食►桃園┃櫻桃庄海鮮創意料理┃桃園櫻桃鴨，不用跑到宜蘭就可以品嘗！,3,11,30,20,12,1,5,10,8,2
◊ 內行才知道小吃店裡藏有媽媽味的豪邁餡料肉粽 這滷肉太浮誇惹！➩ 吳媽媽肉粽小吃店 國泰市場,1,7,2,0,0,0,0,6,2,0
【華陰街】三多屋爸爸嘴 - 豪華生魚片蓋飯,4,5,27,17,9,1,3,6,4,2
❙ 台北中山區 ❙ 人和園雲南菜。老字號雲南菜餐廳，有不少必點的經典菜色！（內有詳細菜單）,1,3,36,18,4,1,5,14,5,0
【城前料理亭】現烤鰻魚飯，台南中西區日本料理，日本進口生魚片，商業午餐可選超值套餐,4,17,53,26,6,3,9,23,12,2
<新北市>板橋車站好逛好吃好享受 2017更新篇,20,5,61,51,14,0,7,26,10,3
桃園台茂購物中心@餐廳美食整理2017/10陸續更新中,0,41,1,0,0,0,0,37,2,0
【宜蘭五結】饗宴鐵板燒 無菜單料理 新鮮在地漁貨 互動式鐵板燒寓教於樂好有趣 羅東/五結,4,13,77,64,26,1,5,18,5,1
【宜蘭市美食】城隍早餐-控肉飯、生煎包,1,5,25,19,6,0,2,8,4,1
台中嚴選１０間咖啡館｜在地人私心推薦：沒有旅行的日子裡，我們在咖啡裡想著下一趟旅行～,10,4,79,51,3,2,7,48,17,0
【台南】國華街小吃大彙集 Top10推薦美食 多數人都說必吃(20180617更新),0,15,1,14,0,0,1,27,10,0
2018曼谷海鮮燒烤吃到飽大比拼！,3,6,38,37,1,1,7,33,13,1
[團購]cream tea 玫瑰造型家常檸檬塔與超好吃的司康,1,8,26,18,3,0,7,29,12,1
【冬季就是要來金澤品嚐のど黒（紅喉魚）的美味：のど黒（紅喉魚）飯本鋪いたる(ITARU)】,4,3,27,16,1,1,4,11,3,0
來到新北蘆洲【必吃的六大美食】2018 口袋名單持續更新中～～,0,8,0,4,0,0,0,19,3,0
永和美食┃阿章土魠魚羹。在地人不想外流的隱藏版美食。土魠魚羹吃過就喜歡,2,10,25,13,1,2,3,6,5,1
燒瓶子大肆の鍋｜彰化員林平價奢華火鍋/CP值超高的午餐/晚餐/聚餐首選/新鮮海鮮/空間寬敞大氣/連停車都方便,2,32,7,0,0,0,3,15,8,0
《新北❤️新店》碧潭水灣餐廳&#127756;在峇里島風水岸餐廳，看新店溪夜景享受悠閒人生～,1,3,28,17,1,1,3,7,8,1
【東食】挑戰胃極限！曾拌麵「8種口味」大評比　猜猜誰才是乾拌麵之王❤,9,28,124,54,9,5,17,27,5,0
吃/台北米其林必比登推介 一甲子劉山東牛肉麵,2,2,5,0,0,0,2,3,4,0
吃。高雄｜高醫美食正統台南肉粽「蔡台南肉粽」。,1,9,35,25,9,0,5,9,5,1
【美食筆記】花傳日本料理 鄰近鬧區不限時的巷弄美食,0,1,1,13,0,0,0,3,4,0
椰蘶椰子雞鍋物-YATSUGI/台北火鍋/椰子水做成的火鍋(捷運科技大樓),2,7,57,53,17,2,8,29,11,0
【食記】高雄.Thesungcafe．老宋咖啡,1,8,7,0,0,0,3,2,1,0
[高雄/三民區]喜憨兒創作料理 豪華吃到飽！ 炸物×燒烤×生魚片×軍艦壽司×鍋物×各式料理無限暢食 高雄必吃,1,27,16,0,0,0,5,10,0,0
【彰化伴手禮】中秋還沒到~已經被秒殺的蛋黃酥~彰化『不二家』~第一名的蛋黃酥~更新106年最新訊息!,0,2,0,0,0,0,0,6,2,0
【美食】高雄12間超人氣親子餐廳懶人包：分區介紹，爸爸媽媽出遊必讀！ ,12,7,0,0,0,0,26,13,1,0
2018/4/6-9環島行~<嘉義>生意很好的「小間食堂」，想吃要趁早！,2,13,0,0,0,0,3,4,4,0
京都  抵達京都第一餐。岡北 Okakita 烏龍X蕎麥麵,2,7,12,0,0,0,3,1,4,0
"台中<第五市場>麻豆碗粿/阿彬爌肉飯/太空紅茶冰/樂群冷凍芋,銅板價錢美食,大大滿足你的味蕾",0,4,0,2,0,0,0,4,0,0
【台北 中山】教父牛排 Danny's Steakhouse～頂級牛排饗宴,0,0,1,15,0,0,1,3,3,0
台中火鍋推薦▶輕井澤鍋物(公益店)。火鍋套餐附白飯、雞蛋、蔬菜盤、主菜、紅茶、冰沙，午間限定4種火鍋只要$168!!!不收10%服務費!!!,2,10,1,0,0,0,12,11,0,0
【國父紀念館】★蘇阿姨比薩屋★有著滿滿牽絲起司的人氣披薩，厚皮份量超有飽足感｜東區美食 義式料理 人氣美食 硬骨魚覓食中,2,9,2,0,0,0,3,9,5,0
植物更美味，健康愛地球&#128149; 蔬食+速食=潮食『扭登和 NewDanhurf』,2,12,5,0,0,0,4,5,6,0
台北雙連 既家常卻又特別-開封包公府的私房麵,1,6,3,0,0,0,3,1,4,0
[芙食記]高雄三多 逐鹿日式炭火燒肉(三多店),1,20,7,0,0,0,2,4,10,0
