username,category,words/tag_w,words/tag_s,avg_len_tagged_word,avg_len_tagged_sentence
user1,tech,58.575,114.50751879699249,3.9639423076923075,32.609962406015036
user2,tech,30.321764997521072,81.65420560747664,3.2171541893901834,15.117489986648865
user7,tech,12.538461538461538,29.93877551020408,3.8974358974358974,23.367346938775512
user8,tech,156.6041095890411,107.64689265536722,6.365753424657535,25.311676082862522
user10,tech,26.95871946082561,46.78362573099415,5.09435551811289,23.857456140350877
user13,tech,164.91883116883116,101.7935871743487,5.509740259740259,28.45490981963928
user15,tech,No Word tags,No Sentence tags,No Word tags,No Sentence tags
user20,tech,77.53853211009174,71.32236286919832,5.070642201834862,48.19071729957806
user21,tech,827.0,827.0,2.875,6.875
user22,tech,387.8102893890675,471.12890625,5.688102893890675,34.4765625
user23,tech,38.66854990583804,89.66375545851528,8.907721280602637,32.419213973799124
user24,tech,418.2020202020202,377.5258358662614,4.451178451178452,16.066869300911854
