category,done_articles,tagged_sentences,sentence_five,sentence_four,sentence_three,sentence_two,sentence_one,tagged_words,word_five,word_four,word_three,word_two,word_one
food,365,17248,0.04742578849721707,0.22002551020408162,0.4482838589981447,0.22048933209647495,0.06377551020408163,8422,0.054143908810258844,0.18451674186654002,0.4061980527190691,0.2804559487057706,0.07468534789836144
tech,118,4642,0.05838000861697544,0.15769065058164583,0.25721671693235676,0.3285221887117622,0.19819043515725981,3492,0.058419243986254296,0.15206185567010308,0.2806414662084765,0.30097365406643756,0.20790378006872853
movie,337,10677,0.04027348506134682,0.1543504729793013,0.33099185164372014,0.35609253535637353,0.11829165495925822,6257,0.0652069681956209,0.17995844653987533,0.3319482179958447,0.31516701294550103,0.10771935432315806
beauty,1161,39203,0.15052419457694563,0.16863505343978777,0.309313062775808,0.2724026222482973,0.09912506695916129,27416,0.17216224102713742,0.1889772395681354,0.2893201050481471,0.25999416399182956,0.08954625036475052
