username,category,words/tag_w,words/tag_s,avg_len_tagged_word,avg_len_tagged_sentence
user0,movie,475.1666666666667,814.5714285714286,3.0833333333333335,26.142857142857142
user1,movie,31.33064949006978,93.24121405750799,3.727321524422974,40.68849840255591
user2,movie,31.908792111750206,87.0695067264574,3.0213640098603123,15.665919282511211
user3,movie,94.98360655737704,53.15596330275229,5.39344262295082,16.027522935779817
user4,movie,No Word tags,No Sentence tags,No Word tags,No Sentence tags
user5,movie,No Word tags,No Sentence tags,No Word tags,No Sentence tags
user6,movie,81.3529411764706,146.43529411764706,3.477124183006536,25.75294117647059
user8,movie,136.26771653543307,92.87656529516994,7.241469816272966,26.971377459749554
user9,movie,82.77932405566601,151.96350364963504,7.033797216699801,40.160583941605836
user10,movie,20.097186700767264,39.09452736318408,4.713554987212277,22.4726368159204
user13,movie,207.21428571428572,112.44186046511628,5.8,29.550387596899224
user14,movie,45.42928216062544,61.51973051010587,3.8500355366027006,48.18960538979788
user15,movie,No Word tags,No Sentence tags,No Word tags,No Sentence tags
user16,movie,90.98496240601504,151.2625,2.8646616541353382,20.35
user18,movie,128.29574468085107,190.21766561514195,3.178723404255319,32.09148264984227
user19,movie,74.82002534854246,240.95102040816326,3.4930291508238276,35.440816326530616
user20,movie,72.83082271147161,67.58387096774193,4.949015063731171,47.33870967741935
user22,movie,281.33870967741933,348.86,7.32258064516129,48.666666666666664
user23,movie,No Word tags,No Sentence tags,No Word tags,No Sentence tags
user24,movie,433.3219512195122,398.3452914798206,4.195121951219512,16.52017937219731
user25,movie,444.09417040358744,513.1243523316062,3.071748878923767,30.05699481865285
