category,done_articles,tagged_sentences,sentence_five,sentence_four,sentence_three,sentence_two,sentence_one,tagged_words,word_five,word_four,word_three,word_two,word_one
food,351,16911,0.04766128555378156,0.2222222222222222,0.45361007628171013,0.2161315120335876,0.06037490390869848,8120,0.05566502463054187,0.1873152709359606,0.4107142857142857,0.2769704433497537,0.06933497536945812
tech,113,4605,0.05884907709011943,0.15895765472312703,0.25776330076004345,0.3276872964169381,0.196742671009772,3443,0.059250653499854776,0.15335463258785942,0.28115015974440893,0.2977054893987801,0.20853906476909673
movie,337,10677,0.04027348506134682,0.1543504729793013,0.33099185164372014,0.35609253535637353,0.11829165495925822,6257,0.0652069681956209,0.17995844653987533,0.3319482179958447,0.31516701294550103,0.10771935432315806
beauty,835,29032,0.16123587765224578,0.16905483604298704,0.2829291815927253,0.27982915403692477,0.10695095067511712,20532,0.18546658873952854,0.18887590103253457,0.2620787064095071,0.26456263393726864,0.09901616988116112
