category,done_articles,tagged_sentences,sentence_five,sentence_four,sentence_three,sentence_two,sentence_one,tagged_words,word_five,word_four,word_three,word_two,word_one
food,365,17248,0.04742578849721707,0.22002551020408162,0.4482838589981447,0.22048933209647495,0.06377551020408163,8422,0.054143908810258844,0.18451674186654002,0.4061980527190691,0.2804559487057706,0.07468534789836144
tech,123,4674,0.057980316645271715,0.15661103979460847,0.25566966195977747,0.3286264441591784,0.2011125374411639,3526,0.057855927396483264,0.1505955757231991,0.2787861599546228,0.2997731140102099,0.21298922291548497
movie,340,10923,0.03945802435228417,0.15114895175318135,0.3356220818456468,0.3559461686349904,0.11782477341389729,6432,0.06529850746268656,0.1837686567164179,0.3333333333333333,0.31141169154228854,0.10618781094527363
beauty,1202,40273,0.14781615474387308,0.16748193578824522,0.3060363022372309,0.2747746629255332,0.10389094430511757,28164,0.16925862803579036,0.18811248402215594,0.287991762533731,0.26210765516261897,0.09252947024570374
