category,done_articles,tagged_sentences,sentence_five,sentence_four,sentence_three,sentence_two,sentence_one,tagged_words,word_five,word_four,word_three,word_two,word_one
food,314,16055,0.04789785113671753,0.23151666147617564,0.4680784802242292,0.20411086888819682,0.04839613827468078,7385,0.055111712931618144,0.1910629654705484,0.42505077860528095,0.27014218009478674,0.058632362897765744
tech,110,4461,0.0587312261824703,0.1528805200627662,0.24747814391392065,0.33669580811477245,0.20421430172607039,3400,0.05764705882352941,0.14941176470588236,0.2791176470588235,0.30058823529411766,0.21323529411764705
movie,303,9450,0.039153439153439155,0.14317460317460318,0.33301587301587304,0.36158730158730157,0.12306878306878306,5643,0.063264221158958,0.17402091086301613,0.33599149388623073,0.315966684387737,0.11075668970405812
beauty,322,9266,0.09615799697819986,0.16565939995683143,0.28761061946902655,0.3070364774444205,0.1435355061515217,8570,0.13360560093348892,0.20641773628938156,0.268144690781797,0.26441073512252045,0.12742123687281215
